,day_hour,sum(dock_bikes),sum(free_bases),sum(total_bases),features,scaled_features,pca_features,PCA1,PCA2
0,2021-03-11 6h,6,24,30,"[6.0,24.0]","[-8.61621621621622,9.881081081081078]","[13.090984849739822,0.7078565386913525]",13.090984849739822,0.7078565386913525
1,2021-03-12 2h,3,26,30,"[3.0,26.0]","[-11.61621621621622,11.881081081081078]","[16.61607983162889,-0.049576870038748666]",16.61607983162889,-0.049576870038748666
2,2021-03-24 2h,17,13,30,"[17.0,13.0]","[2.3837837837837803,-1.1189189189189221]","[-2.4637837271778613,0.9296098217202581]",-2.4637837271778613,0.9296098217202581
3,2021-03-26 22h,23,4,30,"[23.0,4.0]","[8.38378378378378,-10.118918918918922]","[-13.099546840943859,-1.040299563976081]",-13.099546840943859,-1.040299563976081
4,2021-03-15 14h,19,10,30,"[19.0,10.0]","[4.38378378378378,-4.118918918918922]","[-6.009038098433194,0.27297335982147786]",-6.009038098433194,0.27297335982147786
5,2021-03-06 8h,7,22,30,"[7.0,22.0]","[-7.61621621621622,7.881081081081078]","[10.95980034911337,0.031060687426308853]",10.95980034911337,0.031060687426308853
6,2021-03-11 1h,5,25,30,"[5.0,25.0]","[-9.61621621621622,10.881081081081078]","[14.505054720368703,0.6876971493250883]",14.505054720368703,0.6876971493250883
7,2021-03-12 11h,7,23,30,"[7.0,23.0]","[-7.61621621621622,8.881081081081078]","[11.676914979110943,0.7280159280576166]",11.676914979110943,0.7280159280576166
8,2021-03-16 1h,5,23,30,"[5.0,23.0]","[-9.61621621621622,8.881081081081078]","[13.070825460373559,-0.7062133319375281]",13.070825460373559,-0.7062133319375281
9,2021-03-16 16h,10,19,30,"[10.0,19.0]","[-4.61621621621622,4.881081081081078]","[6.717590737226729,0.09153885552510044]",6.717590737226729,0.09153885552510044
10,2021-03-17 9h,8,22,30,"[8.0,22.0]","[-6.61621621621622,7.881081081081078]","[10.262845108482061,0.7481753174238808]",10.262845108482061,0.7481753174238808
11,2021-03-20 15h,22,7,30,"[22.0,7.0]","[7.38378378378378,-7.118918918918922]","[-10.251247710319834,0.33345152792027033]",-10.251247710319834,0.33345152792027033
12,2021-03-26 23h,15,12,30,"[15.0,12.0]","[0.3837837837837803,-2.118918918918922]","[-1.7869878759128175,-1.201574678906195]",-1.7869878759128175,-1.201574678906195
13,2021-03-03 14h,15,15,30,"[15.0,15.0]","[0.3837837837837803,0.8810810810810779]","[0.36435601407989965,0.8892910429877298]",0.36435601407989965,0.8892910429877298
14,2021-03-12 7h,6,24,30,"[6.0,24.0]","[-8.61621621621622,9.881081081081078]","[13.090984849739822,0.7078565386913525]",13.090984849739822,0.7078565386913525
15,2021-03-31 15h,20,8,30,"[20.0,8.0]","[5.38378378378378,-6.118918918918922]","[-8.140222599059646,-0.40382249144356575]",-8.140222599059646,-0.40382249144356575
16,2021-03-09 3h,22,8,30,"[22.0,8.0]","[7.38378378378378,-6.118918918918922]","[-9.534133080322263,1.030406768551579]",-9.534133080322263,1.030406768551579
17,2021-03-24 23h,10,19,30,"[10.0,19.0]","[-4.61621621621622,4.881081081081078]","[6.717590737226729,0.09153885552510044]",6.717590737226729,0.09153885552510044
18,2021-03-25 9h,12,18,30,"[12.0,18.0]","[-2.6162162162162197,3.881081081081078]","[4.606565625966541,0.8288128748889372]",4.606565625966541,0.8288128748889372
19,2021-03-27 2h,14,14,30,"[14.0,14.0]","[-0.6162162162162197,-0.11891891891892215]","[0.3441966247136353,-0.5247788276411508]",0.3441966247136353,-0.5247788276411508
20,2021-03-01 19h,12,13,30,"[12.0,13.0]","[-2.6162162162162197,-1.1189189189189221]","[1.0209924759786788,-2.6559633282676036]",1.0209924759786788,-2.6559633282676036
21,2021-03-04 12h,19,11,30,"[19.0,11.0]","[4.38378378378378,-3.118918918918922]","[-5.291923468435622,0.9699286004527861]",-5.291923468435622,0.9699286004527861
22,2021-03-18 6h,6,24,30,"[6.0,24.0]","[-8.61621621621622,9.881081081081078]","[13.090984849739822,0.7078565386913525]",13.090984849739822,0.7078565386913525
23,2021-03-29 23h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
24,2021-03-29 2h,21,6,30,"[21.0,6.0]","[6.38378378378378,-8.118918918918922]","[-10.2714070996861,-1.0806183427086093]",-10.2714070996861,-1.0806183427086093
25,2021-03-03 5h,5,24,30,"[5.0,24.0]","[-9.61621621621622,9.881081081081078]","[13.78794009037113,-0.009258091306219463]",13.78794009037113,-0.009258091306219463
26,2021-03-09 16h,26,4,30,"[26.0,4.0]","[11.38378378378378,-10.118918918918922]","[-15.190412562837784,1.1110443260166365]",-15.190412562837784,1.1110443260166365
27,2021-03-30 0h,12,17,30,"[12.0,17.0]","[-2.6162162162162197,2.881081081081078]","[3.8894509959689687,0.13185763425762898]",3.8894509959689687,0.13185763425762898
28,2021-03-07 3h,5,25,30,"[5.0,25.0]","[-9.61621621621622,10.881081081081078]","[14.505054720368703,0.6876971493250883]",14.505054720368703,0.6876971493250883
29,2021-03-10 12h,22,8,30,"[22.0,8.0]","[7.38378378378378,-6.118918918918922]","[-9.534133080322263,1.030406768551579]",-9.534133080322263,1.030406768551579
30,2021-03-14 1h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
31,2021-03-20 4h,8,22,30,"[8.0,22.0]","[-6.61621621621622,7.881081081081078]","[10.262845108482061,0.7481753174238808]",10.262845108482061,0.7481753174238808
32,2021-03-02 23h,2,25,30,"[2.0,25.0]","[-12.61621621621622,10.881081081081078]","[16.595920442262628,-1.4636467406676283]",16.595920442262628,-1.4636467406676283
33,2021-03-08 16h,23,5,30,"[23.0,5.0]","[8.38378378378378,-9.118918918918922]","[-12.382432210946288,-0.3433443233447733]",-12.382432210946288,-0.3433443233447733
34,2021-03-11 10h,8,20,30,"[8.0,20.0]","[-6.61621621621622,5.881081081081078]","[8.828615848486917,-0.6457351638387356]",8.828615848486917,-0.6457351638387356
35,2021-03-16 10h,15,15,30,"[15.0,15.0]","[0.3837837837837803,0.8810810810810779]","[0.36435601407989965,0.8892910429877298]",0.36435601407989965,0.8892910429877298
36,2021-03-25 6h,12,18,30,"[12.0,18.0]","[-2.6162162162162197,3.881081081081078]","[4.606565625966541,0.8288128748889372]",4.606565625966541,0.8288128748889372
37,2021-03-15 4h,10,19,30,"[10.0,19.0]","[-4.61621621621622,4.881081081081078]","[6.717590737226729,0.09153885552510044]",6.717590737226729,0.09153885552510044
38,2021-03-05 22h,14,14,30,"[14.0,14.0]","[-0.6162162162162197,-0.11891891891892215]","[0.3441966247136353,-0.5247788276411508]",0.3441966247136353,-0.5247788276411508
39,2021-03-10 17h,10,19,30,"[10.0,19.0]","[-4.61621621621622,4.881081081081078]","[6.717590737226729,0.09153885552510044]",6.717590737226729,0.09153885552510044
40,2021-03-11 23h,5,25,30,"[5.0,25.0]","[-9.61621621621622,10.881081081081078]","[14.505054720368703,0.6876971493250883]",14.505054720368703,0.6876971493250883
41,2021-03-17 17h,2,27,30,"[2.0,27.0]","[-12.61621621621622,12.881081081081078]","[18.030149702257773,-0.06973625940501194]",18.030149702257773,-0.06973625940501194
42,2021-03-24 21h,18,11,30,"[18.0,11.0]","[3.3837837837837803,-3.118918918918922]","[-4.594968227804314,0.2528139704552137]",-4.594968227804314,0.2528139704552137
43,2021-03-27 4h,14,14,30,"[14.0,14.0]","[-0.6162162162162197,-0.11891891891892215]","[0.3441966247136353,-0.5247788276411508]",0.3441966247136353,-0.5247788276411508
44,2021-03-29 8h,22,6,30,"[22.0,6.0]","[7.38378378378378,-8.118918918918922]","[-10.968362340317407,-0.36350371271103743]",-10.968362340317407,-0.36350371271103743
45,2021-03-11 18h,18,12,30,"[18.0,12.0]","[3.3837837837837803,-2.118918918918922]","[-3.877853597806741,0.9497692110865219]",-3.877853597806741,0.9497692110865219
46,2021-03-12 4h,3,26,30,"[3.0,26.0]","[-11.61621621621622,11.881081081081078]","[16.61607983162889,-0.049576870038748666]",16.61607983162889,-0.049576870038748666
47,2021-03-14 5h,14,16,30,"[14.0,16.0]","[-0.6162162162162197,1.8810810810810779]","[1.77842588470878,0.8691316536214655]",1.77842588470878,0.8691316536214655
48,2021-03-24 14h,24,6,30,"[24.0,6.0]","[9.38378378378378,-8.118918918918922]","[-12.362272821580024,1.0707255472841073]",-12.362272821580024,1.0707255472841073
49,2021-03-26 12h,21,6,30,"[21.0,6.0]","[6.38378378378378,-8.118918918918922]","[-10.2714070996861,-1.0806183427086093]",-10.2714070996861,-1.0806183427086093
50,2021-03-31 19h,28,2,30,"[28.0,2.0]","[13.38378378378378,-12.118918918918922]","[-18.018552304095543,1.151363104749164]",-18.018552304095543,1.151363104749164
51,2021-03-08 18h,26,2,30,"[26.0,2.0]","[11.38378378378378,-12.118918918918922]","[-16.624641822832928,-0.2828661552459799]",-16.624641822832928,-0.2828661552459799
52,2021-03-14 22h,12,17,30,"[12.0,17.0]","[-2.6162162162162197,2.881081081081078]","[3.8894509959689687,0.13185763425762898]",3.8894509959689687,0.13185763425762898
53,2021-03-23 22h,20,10,30,"[20.0,10.0]","[5.38378378378378,-4.118918918918922]","[-6.705993339064502,0.9900879898190502]",-6.705993339064502,0.9900879898190502
54,2021-03-25 12h,16,14,30,"[16.0,14.0]","[1.3837837837837803,-0.11891891891892215]","[-1.0497138565489805,0.9094504323539939]",-1.0497138565489805,0.9094504323539939
55,2021-03-18 11h,13,17,30,"[13.0,17.0]","[-1.6162162162162197,2.881081081081078]","[3.1924957553376605,0.8489722642552013]",3.1924957553376605,0.8489722642552013
56,2021-03-26 15h,19,8,30,"[19.0,8.0]","[4.38378378378378,-6.118918918918922]","[-7.443267358428338,-1.120937121441138]",-7.443267358428338,-1.120937121441138
57,2021-03-27 22h,19,9,30,"[19.0,9.0]","[4.38378378378378,-5.118918918918922]","[-6.726152728430766,-0.42398188080983035]",-6.726152728430766,-0.42398188080983035
58,2021-03-29 5h,21,6,30,"[21.0,6.0]","[6.38378378378378,-8.118918918918922]","[-10.2714070996861,-1.0806183427086093]",-10.2714070996861,-1.0806183427086093
59,2021-03-17 13h,8,20,30,"[8.0,20.0]","[-6.61621621621622,5.881081081081078]","[8.828615848486917,-0.6457351638387356]",8.828615848486917,-0.6457351638387356
60,2021-03-24 13h,26,4,30,"[26.0,4.0]","[11.38378378378378,-10.118918918918922]","[-15.190412562837784,1.1110443260166365]",-15.190412562837784,1.1110443260166365
61,2021-03-25 11h,12,18,30,"[12.0,18.0]","[-2.6162162162162197,3.881081081081078]","[4.606565625966541,0.8288128748889372]",4.606565625966541,0.8288128748889372
62,2021-03-29 7h,22,6,30,"[22.0,6.0]","[7.38378378378378,-8.118918918918922]","[-10.968362340317407,-0.36350371271103743]",-10.968362340317407,-0.36350371271103743
63,2021-03-15 20h,9,19,30,"[9.0,19.0]","[-5.61621621621622,4.881081081081078]","[7.414545977858037,-0.6255757744724715]",7.414545977858037,-0.6255757744724715
64,2021-03-07 5h,5,25,30,"[5.0,25.0]","[-9.61621621621622,10.881081081081078]","[14.505054720368703,0.6876971493250883]",14.505054720368703,0.6876971493250883
65,2021-03-11 17h,11,19,30,"[11.0,19.0]","[-3.6162162162162197,4.881081081081078]","[6.020635496595421,0.8086534855226728]",6.020635496595421,0.8086534855226728
66,2021-03-20 7h,8,22,30,"[8.0,22.0]","[-6.61621621621622,7.881081081081078]","[10.262845108482061,0.7481753174238808]",10.262845108482061,0.7481753174238808
67,2021-03-26 18h,21,6,30,"[21.0,6.0]","[6.38378378378378,-8.118918918918922]","[-10.2714070996861,-1.0806183427086093]",-10.2714070996861,-1.0806183427086093
68,2021-03-09 14h,27,3,30,"[27.0,3.0]","[12.38378378378378,-11.118918918918922]","[-16.604482433466664,1.1312037153828989]",-16.604482433466664,1.1312037153828989
69,2021-03-06 5h,6,22,30,"[6.0,22.0]","[-8.61621621621622,7.881081081081078]","[11.656755589744678,-0.686053942571264]",11.656755589744678,-0.686053942571264
70,2021-03-16 12h,15,15,30,"[15.0,15.0]","[0.3837837837837803,0.8810810810810779]","[0.36435601407989965,0.8892910429877298]",0.36435601407989965,0.8892910429877298
71,2021-03-18 8h,8,22,30,"[8.0,22.0]","[-6.61621621621622,7.881081081081078]","[10.262845108482061,0.7481753174238808]",10.262845108482061,0.7481753174238808
72,2021-03-24 19h,17,12,30,"[17.0,12.0]","[2.3837837837837803,-2.118918918918922]","[-3.1808983571754332,0.23265458108894976]",-3.1808983571754332,0.23265458108894976
73,2021-03-27 18h,24,4,30,"[24.0,4.0]","[9.38378378378378,-10.118918918918922]","[-13.796502081575168,-0.3231849339785091]",-13.796502081575168,-0.3231849339785091
74,2021-03-10 4h,17,12,30,"[17.0,12.0]","[2.3837837837837803,-2.118918918918922]","[-3.1808983571754332,0.23265458108894976]",-3.1808983571754332,0.23265458108894976
75,2021-03-15 8h,16,13,30,"[16.0,13.0]","[1.3837837837837803,-1.1189189189189221]","[-1.7668284865465531,0.21249519172268572]",-1.7668284865465531,0.21249519172268572
76,2021-03-30 15h,19,11,30,"[19.0,11.0]","[4.38378378378378,-3.118918918918922]","[-5.291923468435622,0.9699286004527861]",-5.291923468435622,0.9699286004527861
77,2021-03-01 20h,9,16,30,"[9.0,16.0]","[-5.61621621621622,1.8810810810810779]","[5.26320208786532,-2.716441496366396]",5.26320208786532,-2.716441496366396
78,2021-03-19 10h,20,10,30,"[20.0,10.0]","[5.38378378378378,-4.118918918918922]","[-6.705993339064502,0.9900879898190502]",-6.705993339064502,0.9900879898190502
79,2021-03-01 7h,7,16,30,"[7.0,16.0]","[-7.61621621621622,1.8810810810810779]","[6.6571125691279365,-4.15067075636154]",6.6571125691279365,-4.15067075636154
80,2021-03-10 19h,8,21,30,"[8.0,21.0]","[-6.61621621621622,6.881081081081078]","[9.54573047848449,0.05122007679257212]",9.54573047848449,0.05122007679257212
81,2021-03-14 0h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
82,2021-03-14 10h,15,15,30,"[15.0,15.0]","[0.3837837837837803,0.8810810810810779]","[0.36435601407989965,0.8892910429877298]",0.36435601407989965,0.8892910429877298
83,2021-03-23 1h,8,20,30,"[8.0,20.0]","[-6.61621621621622,5.881081081081078]","[8.828615848486917,-0.6457351638387356]",8.828615848486917,-0.6457351638387356
84,2021-03-23 14h,17,11,30,"[17.0,11.0]","[2.3837837837837803,-3.118918918918922]","[-3.8980129871730056,-0.46430065954235844]",-3.8980129871730056,-0.46430065954235844
85,2021-03-25 0h,9,20,30,"[9.0,20.0]","[-5.61621621621622,5.881081081081078]","[8.13166060785561,0.07137946615883717]",8.13166060785561,0.07137946615883717
86,2021-03-28 10h,17,11,30,"[17.0,11.0]","[2.3837837837837803,-3.118918918918922]","[-3.8980129871730056,-0.46430065954235844]",-3.8980129871730056,-0.46430065954235844
87,2021-03-28 22h,24,3,30,"[24.0,3.0]","[9.38378378378378,-11.118918918918922]","[-14.513616711572741,-1.0201401746098178]",-14.513616711572741,-1.0201401746098178
88,2021-03-01 18h,10,15,30,"[10.0,15.0]","[-4.61621621621622,0.8810810810810779]","[3.8491322172364395,-2.6962821070001324]",3.8491322172364395,-2.6962821070001324
89,2021-03-05 7h,12,18,30,"[12.0,18.0]","[-2.6162162162162197,3.881081081081078]","[4.606565625966541,0.8288128748889372]",4.606565625966541,0.8288128748889372
90,2021-03-11 5h,4,26,30,"[4.0,26.0]","[-10.61621621621622,11.881081081081078]","[15.919124590997583,0.6675377599588241]",15.919124590997583,0.6675377599588241
91,2021-03-17 22h,8,20,30,"[8.0,20.0]","[-6.61621621621622,5.881081081081078]","[8.828615848486917,-0.6457351638387356]",8.828615848486917,-0.6457351638387356
92,2021-03-23 13h,19,9,30,"[19.0,9.0]","[4.38378378378378,-5.118918918918922]","[-6.726152728430766,-0.42398188080983035]",-6.726152728430766,-0.42398188080983035
93,2021-03-31 5h,6,23,30,"[6.0,23.0]","[-8.61621621621622,8.881081081081078]","[12.373870219742251,0.010901298060043807]",12.373870219742251,0.010901298060043807
94,2021-03-10 7h,18,12,30,"[18.0,12.0]","[3.3837837837837803,-2.118918918918922]","[-3.877853597806741,0.9497692110865219]",-3.877853597806741,0.9497692110865219
95,2021-03-10 9h,20,10,30,"[20.0,10.0]","[5.38378378378378,-4.118918918918922]","[-6.705993339064502,0.9900879898190502]",-6.705993339064502,0.9900879898190502
96,2021-03-17 1h,3,27,30,"[3.0,27.0]","[-11.61621621621622,12.881081081081078]","[17.333194461626462,0.6473783705925591]",17.333194461626462,0.6473783705925591
97,2021-03-17 10h,7,23,30,"[7.0,23.0]","[-7.61621621621622,8.881081081081078]","[11.676914979110943,0.7280159280576166]",11.676914979110943,0.7280159280576166
98,2021-03-28 3h,15,13,30,"[15.0,13.0]","[0.3837837837837803,-1.1189189189189221]","[-1.0698732459152451,-0.5046194382748866]",-1.0698732459152451,-0.5046194382748866
99,2021-03-16 4h,5,23,30,"[5.0,23.0]","[-9.61621621621622,8.881081081081078]","[13.070825460373559,-0.7062133319375281]",13.070825460373559,-0.7062133319375281
100,2021-03-17 20h,14,15,30,"[14.0,15.0]","[-0.6162162162162197,0.8810810810810779]","[1.0613112547112076,0.1721764129901574]",1.0613112547112076,0.1721764129901574
101,2021-03-21 16h,28,1,30,"[28.0,1.0]","[13.38378378378378,-13.118918918918922]","[-18.735666934093118,0.45440786411785616]",-18.735666934093118,0.45440786411785616
102,2021-03-26 7h,14,14,30,"[14.0,14.0]","[-0.6162162162162197,-0.11891891891892215]","[0.3441966247136353,-0.5247788276411508]",0.3441966247136353,-0.5247788276411508
103,2021-03-28 1h,15,13,30,"[15.0,13.0]","[0.3837837837837803,-1.1189189189189221]","[-1.0698732459152451,-0.5046194382748866]",-1.0698732459152451,-0.5046194382748866
104,2021-03-04 14h,22,8,30,"[22.0,8.0]","[7.38378378378378,-6.118918918918922]","[-9.534133080322263,1.030406768551579]",-9.534133080322263,1.030406768551579
105,2021-03-09 12h,26,4,30,"[26.0,4.0]","[11.38378378378378,-10.118918918918922]","[-15.190412562837784,1.1110443260166365]",-15.190412562837784,1.1110443260166365
106,2021-03-10 21h,5,25,30,"[5.0,25.0]","[-9.61621621621622,10.881081081081078]","[14.505054720368703,0.6876971493250883]",14.505054720368703,0.6876971493250883
107,2021-03-13 12h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
108,2021-03-01 3h,6,17,30,"[6.0,17.0]","[-8.61621621621622,2.881081081081078]","[8.071182439756816,-4.170830145727805]",8.071182439756816,-4.170830145727805
109,2021-03-15 22h,7,21,30,"[7.0,21.0]","[-7.61621621621622,6.881081081081078]","[10.242685719115798,-0.6658945532049998]",10.242685719115798,-0.6658945532049998
110,2021-03-18 14h,13,17,30,"[13.0,17.0]","[-1.6162162162162197,2.881081081081078]","[3.1924957553376605,0.8489722642552013]",3.1924957553376605,0.8489722642552013
111,2021-03-07 10h,7,23,30,"[7.0,23.0]","[-7.61621621621622,8.881081081081078]","[11.676914979110943,0.7280159280576166]",11.676914979110943,0.7280159280576166
112,2021-03-12 15h,10,20,30,"[10.0,20.0]","[-4.61621621621622,5.881081081081078]","[7.434705367224302,0.7884940961564091]",7.434705367224302,0.7884940961564091
113,2021-03-25 13h,18,12,30,"[18.0,12.0]","[3.3837837837837803,-2.118918918918922]","[-3.877853597806741,0.9497692110865219]",-3.877853597806741,0.9497692110865219
114,2021-03-27 3h,14,14,30,"[14.0,14.0]","[-0.6162162162162197,-0.11891891891892215]","[0.3441966247136353,-0.5247788276411508]",0.3441966247136353,-0.5247788276411508
115,2021-03-05 14h,13,17,30,"[13.0,17.0]","[-1.6162162162162197,2.881081081081078]","[3.1924957553376605,0.8489722642552013]",3.1924957553376605,0.8489722642552013
116,2021-03-06 21h,17,12,30,"[17.0,12.0]","[2.3837837837837803,-2.118918918918922]","[-3.1808983571754332,0.23265458108894976]",-3.1808983571754332,0.23265458108894976
117,2021-03-14 16h,17,12,30,"[17.0,12.0]","[2.3837837837837803,-2.118918918918922]","[-3.1808983571754332,0.23265458108894976]",-3.1808983571754332,0.23265458108894976
118,2021-03-16 17h,10,20,30,"[10.0,20.0]","[-4.61621621621622,5.881081081081078]","[7.434705367224302,0.7884940961564091]",7.434705367224302,0.7884940961564091
119,2021-03-21 19h,27,1,30,"[27.0,1.0]","[12.38378378378378,-13.118918918918922]","[-18.038711693461806,-0.26270676587971664]",-18.038711693461806,-0.26270676587971664
120,2021-03-27 10h,17,11,30,"[17.0,11.0]","[2.3837837837837803,-3.118918918918922]","[-3.8980129871730056,-0.46430065954235844]",-3.8980129871730056,-0.46430065954235844
121,2021-03-30 16h,16,14,30,"[16.0,14.0]","[1.3837837837837803,-0.11891891891892215]","[-1.0497138565489805,0.9094504323539939]",-1.0497138565489805,0.9094504323539939
122,2021-03-06 1h,7,21,30,"[7.0,21.0]","[-7.61621621621622,6.881081081081078]","[10.242685719115798,-0.6658945532049998]",10.242685719115798,-0.6658945532049998
123,2021-03-08 2h,13,16,30,"[13.0,16.0]","[-1.6162162162162197,1.8810810810810779]","[2.475381125340088,0.15201702362389313]",2.475381125340088,0.15201702362389313
124,2021-03-09 11h,26,4,30,"[26.0,4.0]","[11.38378378378378,-10.118918918918922]","[-15.190412562837784,1.1110443260166365]",-15.190412562837784,1.1110443260166365
125,2021-03-19 0h,5,24,30,"[5.0,24.0]","[-9.61621621621622,9.881081081081078]","[13.78794009037113,-0.009258091306219463]",13.78794009037113,-0.009258091306219463
