weekend,hour,sum(free_bases)
True,0,68
False,13,279
False,20,267
True,7,83
True,20,24
False,14,295
True,2,82
False,7,453
True,9,81
False,5,480
True,22,37
True,1,81
True,3,83
False,22,388
True,11,67
False,16,337
False,0,489
True,4,83
False,10,330
False,17,337
True,8,82
True,16,44
True,19,34
True,23,61
False,9,339
False,15,311
False,18,289
True,18,33
True,14,38
False,11,312
True,21,25
False,1,482
False,19,251
True,17,44
True,12,47
False,8,410
True,5,83
True,15,43
False,6,461
False,2,474
True,13,44
False,3,487
True,6,83
True,10,76
False,4,474
False,12,290
False,21,304
False,23,483
